SystemName,DisplayName,DataType,MultiValued,ObjectType
AccountExpires,Account vervaldatum,DateTime,False,Person
WhenCreated,Account aangemaakt op,DateTime,False,Person
BirthDay,Geboortedatum,DateTime,False,Person
EmployeeNumber,EmployeeNr,String,False,Person
IsDisabled,Gebruiker disabled?,Boolean,False,Person
IsTemp,Tijdelijke gebruiker?,Boolean,False,Person
IsRole,Role groep,Boolean,False,Group
IsTeam,Team groep,Boolean,False,Group
RoleDistributionList,Role krijgt een distributie lijst,Boolean,False,Group
RoleSharedFolder,Role krijgt een shared folder,Boolean,False,Group
TeamDistributionList,Team krijgt een distributie lijst,Boolean,False,Group
TeamSharedFolder,Team krijgt een shared folder,Boolean,False,Group
TeamSharedMailbox,Team krijgt een shared mailbox,Boolean,False,Group
OTPService,OTP aanvraag via sms of email,String,False,User
